request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_97,1543.67,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 31,243.67 available."
request_98,5169.58,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 2025-10-15. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17539,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.9,"Reduce family dinner to 1065.9, then pay ZAR 18,062 today. This leaves at least ZAR 49,615.33 available."
request_100,25161.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the ZAR 32,500 minimum protected."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 204,187.87 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 2,480.78 available."
request_103,4075.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 4,075.99 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 27,800.58 available over the next 90 days."
request_105,49665.76,affordable_later,wait,2026-06-15:53500,2026-06-15,none,"Pay INR 53,500 in full on 2026-06-15. Paying earlier would take the balance below the INR 73,900 minimum."
request_106,461.35,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2413.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600 minimum protected."
request_108,548.64,affordable_later,wait,2026-09-24:55308,2026-09-24,none,"Pay ZAR 55,308 in full on 2026-09-24. Paying earlier would take the balance below the ZAR 24,100 minimum."
request_109,577.9,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,761.46 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 26,988.88 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 57,168,423.81 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 515.24 available over the next 90 days.
request_113,20361.57,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 2026-10-15. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,51332.38,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300 in full on 2026-01-15. Paying earlier would take the balance below the INR 113,400 minimum."
request_115,14644.65,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7794.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 7,794.95 is available today, the full amount cannot be completed safely within 90 days."
request_117,858.95,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Pay EUR 880 in full on 2026-07-15. Paying earlier would take the balance below the EUR 1,000 minimum."
request_118,629.17,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600 minimum protected.
request_119,59590.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,794,888.20 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 867.75 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 29,696,727.15 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 21,265,359 available over the next 90 days."
request_124,1388.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,600 minimum protected."
request_125,5772.47,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Pay ZAR 6,468 in full on 2025-11-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 130,506 available over the next 90 days."
request_127,7013.79,affordable_later,wait,2024-11-15:23980,2024-11-15,none,"Pay ZAR 23,980 in full on 2024-11-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 43,782.77 available over the next 90 days."
request_129,114.52,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 114.52 is available today, the full amount cannot be completed safely within 90 days."
request_130,369.39,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1127.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-08. None of the available options keeps the USD 1,100 minimum protected."
request_132,253.9,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Pay USD 379.86 in full on 2026-02-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
request_134,4478536.66,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,282.34,affordable_later,wait,2026-07-15:304.8,2026-07-15,none,Pay USD 304.80 in full on 2026-07-15. Paying earlier would take the balance below the USD 500 minimum.
request_136,539.95,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,"Reduce household shopping to 27.2, then pay USD 560.40 today. This leaves at least USD 1,119.95 available."
request_137,25090.39,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,862.5,affordable_with_plan,partial_payment,2026-04-07:862.5|2026-04-15:394.44,2026-04-15,none,"Pay EUR 862.50 today and the remaining EUR 394.44 on 2026-04-15. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1337.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-17. None of the available options keeps the USD 1,500 minimum protected."
request_140,1420.68,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,420.68 is available today, the full amount cannot be completed safely within 90 days."
request_141,18513.03,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 18,513.03 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 3,993.14 available over the next 90 days."
request_143,2484.1,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 613.02 available over the next 90 days.
request_145,11019.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400 minimum protected."
request_146,13570.65,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 13,570.65 is available today, the full amount cannot be completed safely within 90 days."
request_147,473.67,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 982.04 available."
request_148,7226.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,24792.29,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 43,908.86 available."
request_150,232.08,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 32,340,116.84 available over the next 90 days."
request_152,11079.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-13. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 0 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,859.71 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 76,887.27 available over the next 90 days."
request_156,9579.13,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,5177361.27,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 436,976.76 available."
request_159,5768.07,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 5,768.07 is available today, the full amount cannot be completed safely within 90 days."
request_160,573.88,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,341.83 available."
request_161,6880177.29,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1407152.52,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,407,152.52 is available today, the full amount cannot be completed safely within 90 days."
request_163,7954341.65,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 47,646,684.37 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 266,767.59 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 4,306.71 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 36,742.70 available over the next 90 days."
request_168,30632.33,affordable_with_plan,partial_payment,2026-01-07:30632.33|2026-02-15:18747.67,2026-02-15,none,"Pay INR 30,632.33 today and the remaining INR 18,747.67 on 2026-02-15. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 24,911.19 available over the next 90 days."
request_170,29931465.17,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 25,103,937.02 available."
request_171,35.35,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 35.35 is available today, the full amount cannot be completed safely within 90 days."
request_172,9053.81,affordable_with_plan,partial_payment,2024-06-05:9053.81|2024-06-15:1146.19,2024-06-15,none,"Pay ZAR 9,053.81 today and the remaining ZAR 1,146.19 on 2024-06-15. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,54382.65,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113,000 request. Although INR 54,382.65 is available today, the full amount cannot be completed safely within 90 days."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 2,657.70 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,908.10 available over the next 90 days."
request_176,310.71,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 310.71 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,386.86 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 3,878.43 available."
request_179,6607991.36,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 47,549.55 available over the next 90 days."
request_181,416.74,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 416.74 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 40,459.84 available over the next 90 days."
request_183,22964775.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-18. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,7636.93,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 7,636.93 is available today, the full amount cannot be completed safely within 90 days."
request_185,323.17,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,3016.37,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 2026-03-15. Paying earlier would take the balance below the ZAR 22,000 minimum."
